tab	specimens
contribution_id	row_id	specimen	sample	experiments	volume	weight	igsn	igsn_parent	synthetic_alternatives	result_quality	method_codes	citations	meas_temp	meas_orient_theta	meas_orient_phi	azimuth	dip	critical_temp_type	critical_temp_mineral	critical_temp	critical_temp_low	critical_temp_high	hyst_loop	hyst_ms_mass	hyst_mr_mass	hyst_bcr	hyst_bc	hyst_xhf	mineral_type	description	hyst_bc_offset	instrument_codes	rem_hirm_mass	rem_sratio	rem_sratio_forward	rem_sratio_back	aniso_type	aniso_s	aniso_s_n_measurements	aniso_l	aniso_f	aniso_p	aniso_t
		siderite (Dyar) E48 Moss	siderite (Dyar) E48			0				g	LP-MASS	This Study																		data from the Mineral Spectroscopy database, Mt Holyoke College													
		siderite (Dyar) Hyde Moss	siderite (Dyar) Hyde			0				g	LP-MASS	This Study																		data from the Mineral Spectroscopy database, Mt Holyoke College													
		siderite_Dalizi-YP-01	siderite_Dalizi-YP		4.00000005960464E-7	0.00118700003623962			siderite_Dalizi-YP	g	LP-MASS:LP-VOL	This Study																	siderite														
		siderite_Roman-01	siderite_Roman		1.00000001490116E-7	0.000143900007009506			siderite_Roman	g	LP-MASS:LP-VOL	This Study																	siderite														
		siderite_unk-01	siderite_unk		1.00000001490116E-7	0.000100000001490116			siderite_unk	g	LP-MASS:LP-VOL	This Study																	siderite	mass unknown; arbitrary value of 100 mg used													
		siderite_Roman-01	siderite_Roman						siderite_Roman		SM-EYE:LP-X-H:LP-ZFC:LP-ZFC:LP-ZFC:LP-ZFC	This Study						Neel		34.13										by eye		IRM-BigRed											
		siderite_Roman-01	siderite_Roman						siderite_Roman		SM-1DMAX:LP-X-H:LP-ZFC:LP-ZFC:LP-ZFC:LP-ZFC	This Study						Neel		33.19										1st derivative minimum FC, remanence		IRM-BigRed											
		siderite_unk-01	siderite_unk						siderite_unk		SM-1DMAX:LP-FC:LP-ZFC:LP-CW-SIRM:LP-MC:LP-CW-SIRM:LP-MC	This Study						Neel		38.06										1st derivative minimum FC, remanence		IRM-OldBlue											
>>>>>>>>>>
tab	samples
sample	site	azimuth	dip	lat	lon	height	description	citations
siderite (Dyar) E48	RMB siderite (FeCO3)		90				Siderite E48. Sample courtesy of David Turner.	This study
siderite (Dyar) Hyde	RMB siderite (FeCO3)		90				Brendt Hyde Siderite	This study
>>>>>>>>>>
tab	sites
site	location	lat	lon	elevation	description	citations
RMB siderite (FeCO3)	RMB carbonates		0			This study
>>>>>>>>>>
tab	locations
location	lat_s	lon_w	lat_n	lon_e	description	citations
RMB carbonates						This study
>>>>>>>>>>
tab	measurements
contribution_id	row_id	measurement	experiment	specimen	sequence	standard	quality	method_codes	instrument_codes	display_order	result_type	citations	treat_temp	treat_temp_decay_rate	treat_temp_dc_on	treat_temp_dc_off	treat_ac_field	treat_ac_field_decay_rate	treat_ac_field_dc_on	treat_ac_field_dc_off	treat_dc_field	treat_dc_field_decay_rate	treat_dc_field_ac_on	treat_dc_field_ac_off	treat_dc_field_theta	treat_dc_field_phi	treat_mw_power	treat_mw_time	treat_mw_integral	treat_mw_step	treat_step_num	meas_pos_x	meas_pos_y	meas_pos_z	meas_orient_theta	meas_orient_phi	meas_n_orient	meas_temp	meas_temp_change	meas_freq	meas_duration	meas_field_ac	meas_field_ac_theta	meas_field_ac_phi	meas_field_dc	meas_field_dc_theta	meas_field_dc_phi	inversion_height	inversion_residuals	magn_moment	magn_x	magn_x_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	magn_xyz_sigma	magn_induction	magn_b_x	magn_b_x_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_b_111	magn_b_111_sigma	magn_b_xyz_sigma	magn_r2_det	dir_dec	dir_inc	dir_csd	magn_volume	magn_mass	magn_uncal	aniso_type	aniso_s	hyst_loop	hyst_sweep_rate	hyst_charging_mode	susc_chi_volume	susc_chi_mass	susc_chi_qdr_volume	susc_chi_qdr_mass	description	timestamp	software_packages	files	external_database_ids	derived_value	analysts
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-1	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	1	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										20.00		10.00		3.000e-4																																							1.563e-6		6.004e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-2	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	2	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										20.00		99.90		3.000e-4																																							1.561e-6		6.943e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-3	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	3	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										30.00		1.00		3.000e-4																																							2.083e-6		3.388e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-4	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	4	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										30.00		10.00		3.000e-4																																							2.080e-6		1.281e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-5	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	5	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										30.00		99.90		3.000e-4																																							2.077e-6		1.352e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-6	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	6	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										40.00		1.00		3.000e-4																																							2.638e-6		-1.202e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-7	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	7	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										40.00		10.00		3.000e-4																																							2.635e-6		1.265e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-8	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	8	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										40.00		99.90		3.000e-4																																							2.631e-6		1.583e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-9	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	9	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										50.00		1.00		3.000e-4																																							2.531e-6		-8.646e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-10	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	10	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										50.00		10.00		3.000e-4																																							2.529e-6		1.044e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-11	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	11	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										50.00		99.90		3.000e-4																																							2.526e-6		1.785e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-12	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	12	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										60.00		1.00		3.000e-4																																							2.399e-6		-8.151e-13		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-13	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	13	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										60.00		10.00		3.000e-4																																							2.397e-6		9.160e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-14	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	14	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										60.00		99.90		3.000e-4																																							2.393e-6		1.272e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-15	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	15	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										69.99		1.00		3.000e-4																																							2.272e-6		7.550e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-16	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	16	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										69.99		10.00		3.000e-4																																							2.269e-6		6.922e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-17	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	17	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										69.99		99.90		3.000e-4																																							2.269e-6		1.157e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-18	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	18	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										79.99		1.00		3.000e-4																																							2.151e-6		5.792e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-19	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	19	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										79.99		10.00		3.000e-4																																							2.149e-6		5.680e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-20	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	20	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										79.99		99.90		3.000e-4																																							2.149e-6		1.120e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-21	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	21	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										89.99		1.00		3.000e-4																																							2.039e-6		4.511e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-22	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	22	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										89.99		10.00		3.000e-4																																							2.038e-6		6.419e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-23	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	23	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										89.99		99.90		3.000e-4																																							2.037e-6		9.813e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-24	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	24	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										99.99		1.00		3.000e-4																																							1.935e-6		4.959e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-25	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	25	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										99.99		10.00		3.000e-4																																							1.934e-6		8.143e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-26	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	26	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										99.99		99.90		3.000e-4																																							1.935e-6		7.526e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-27	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	27	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										109.99		1.00		3.000e-4																																							1.840e-6		6.186e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-28	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	28	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										109.99		10.00		3.000e-4																																							1.839e-6		1.056e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-29	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	29	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										109.99		99.90		3.000e-4																																							1.841e-6		1.080e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-30	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	30	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										119.99		1.00		3.000e-4																																							1.754e-6		7.982e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-31	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	31	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										119.99		10.00		3.000e-4																																							1.750e-6		1.464e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-32	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	32	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										119.99		99.90		3.000e-4																																							1.754e-6		1.307e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-33	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	33	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										129.99		1.00		3.000e-4																																							1.709e-6		4.996e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-34	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	34	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										129.99		10.00		3.000e-4																																							1.708e-6		1.007e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-35	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	35	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										129.99		99.90		3.000e-4																																							1.709e-6		7.871e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-36	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	36	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										139.99		1.00		3.000e-4																																							1.635e-6		4.997e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-37	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	37	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										139.99		10.00		3.000e-4																																							1.634e-6		1.001e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-38	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	38	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										139.99		99.90		3.000e-4																																							1.636e-6		6.993e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-39	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	39	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										149.99		1.00		3.000e-4																																							1.565e-6		4.418e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-40	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	40	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										149.99		10.00		3.000e-4																																							1.565e-6		1.105e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-41	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	41	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										149.99		99.90		3.000e-4																																							1.562e-6		1.078e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-42	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	42	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										159.99		1.00		3.000e-4																																							1.504e-6		4.483e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-43	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	43	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										159.99		10.00		3.000e-4																																							1.503e-6		1.004e-9		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-44	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	44	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										159.99		99.90		3.000e-4																																							1.500e-6		6.742e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-45	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	45	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										169.99		1.00		3.000e-4																																							1.447e-6		4.836e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-46	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	46	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										169.99		10.00		3.000e-4																																							1.447e-6		9.934e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-47	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	47	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										169.99		99.90		3.000e-4																																							1.445e-6		8.795e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-48	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	48	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										179.99		1.00		3.000e-4																																							1.396e-6		4.286e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-49	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	49	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										179.99		10.00		3.000e-4																																							1.395e-6		9.364e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-50	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	50	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										179.99		99.90		3.000e-4																																							1.393e-6		5.540e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-51	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	51	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										189.99		1.00		3.000e-4																																							1.348e-6		4.238e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-52	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	52	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										189.99		10.00		3.000e-4																																							1.348e-6		8.107e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-53	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	53	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										189.99		99.90		3.000e-4																																							1.346e-6		2.354e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-54	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	54	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										199.99		1.00		3.000e-4																																							1.304e-6		4.722e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-55	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	55	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										199.99		10.00		3.000e-4																																							1.303e-6		7.224e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-56	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	56	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										199.99		99.90		3.000e-4																																							1.303e-6		8.374e-11		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-57	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	57	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										209.99		1.00		3.000e-4																																							1.262e-6		4.357e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-58	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	58	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										209.99		10.00		3.000e-4																																							1.262e-6		5.913e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-59	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	59	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										209.99		99.90		3.000e-4																																							1.261e-6		1.976e-10		2001-09-22T15:55:48.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-60	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811	siderite_Dalizi-YP-01	60	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										220.00		1.00		3.000e-4																																							1.227e-6		4.325e-10		2001-09-22T15:55:48.000-05:00					
