tab 	locations
age	age_unit	citations	description	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w
2000	Years AD (+/-)	This study		Not Specified	44.9753	44.9753	Not Specified	RMB carbonates	Laboratory	266.7655	266.7655
>>>>>>>>>>
tab 	samples
azimuth	citations	description	dip	height	lat	lon	method_codes	sample	site
	This study						FS-H	siderite_Dalizi-YP	RMB siderite (FeCO3)
	This study						FS-H	siderite_Roman	RMB siderite (FeCO3)
	This study						FS-H	siderite_unk	RMB siderite (FeCO3)
>>>>>>>>>>
tab 	specimens
aniso_f	aniso_l	aniso_p	aniso_s	aniso_s_n_measurements	aniso_t	aniso_type	azimuth	citations	contribution_id	critical_temp	critical_temp_high	critical_temp_low	critical_temp_mineral	critical_temp_type	description	dip	experiments	hyst_bc	hyst_bc_offset	hyst_bcr	hyst_loop	hyst_mr_mass	hyst_ms_mass	hyst_xhf	igsn	igsn_parent	instrument_codes	meas_orient_phi	meas_orient_theta	meas_temp	method_codes	mineral_class	mineral_type	rem_hirm_mass	rem_sratio	rem_sratio_back	rem_sratio_forward	result_quality	row_id	sample	specimen	synthetic_alternatives	volume	weight
								This Study																							LP-MASS:LP-VOL	Siderite						g		siderite_Dalizi-YP	siderite_Dalizi-YP-01	siderite_Dalizi-YP	4.00000005960464e-07	0.0011870000362396
								This Study																							LP-MASS:LP-VOL	Siderite						g		siderite_Roman	siderite_Roman-01	siderite_Roman	1.00000001490116e-07	0.0001439000070095
								This Study							mass unknown; arbitrary value of 100 mg used																LP-MASS:LP-VOL	Siderite						g		siderite_unk	siderite_unk-01	siderite_unk	1.00000001490116e-07	0.0001000000014901
								This Study		34.13				Neel	by eye												IRM-BigRed				SM-EYE:LP-X-H:LP-ZFC:LP-ZFC:LP-ZFC:LP-ZFC	Siderite								siderite_Roman	siderite_Roman-01	siderite_Roman		
								This Study		33.19				Neel	1st derivative minimum FC, remanence												IRM-BigRed				SM-1DMAX:LP-X-H:LP-ZFC:LP-ZFC:LP-ZFC:LP-ZFC	Siderite								siderite_Roman	siderite_Roman-01	siderite_Roman		
								This Study		38.06				Neel	1st derivative minimum FC, remanence												IRM-OldBlue				SM-1DMAX:LP-FC:LP-ZFC:LP-CW-SIRM:LP-MC:LP-CW-SIRM:LP-MC	Siderite								siderite_unk	siderite_unk-01	siderite_unk		
>>>>>>>>>>
tab 	sites
age	age_unit	citations	description	elevation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site
2000	Years AD (+/-)	This study			Not Specified	Not Specified	44.9753	Not Specified	RMB carbonates	266.7655	LP-X:LP-X-T:LP-X-F:LP-ZFC:LP-FC:LP-CW-SIRM:LP-MC:LP-CW-SIRM:LP-MW:LP-MST	RMB siderite (FeCO3)
>>>>>>>>>>
tab 	measurements
analysts	aniso_s	aniso_type	citations	contribution_id	derived_value	description	dir_csd	dir_dec	dir_inc	display_order	experiment	files	hyst_charging_mode	hyst_loop	hyst_sweep_rate	instrument_codes	inversion_height	inversion_residuals	magn_b_111	magn_b_111_sigma	magn_b_x	magn_b_x_sigma	magn_b_xyz_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_induction	magn_mass	magn_moment	magn_r2_det	magn_uncal	magn_volume	magn_x	magn_x_sigma	magn_xyz_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	meas_duration	meas_field_ac	meas_field_ac_phi	meas_field_ac_theta	meas_field_dc	meas_field_dc_phi	meas_field_dc_theta	meas_freq	meas_n_orient	meas_orient_phi	meas_orient_theta	meas_pos_x	meas_pos_y	meas_pos_z	meas_temp	meas_temp_change	measurement	method_codes	quality	result_type	row_id	sequence	software_packages	specimen	standard	susc_chi_mass	susc_chi_qdr_mass	susc_chi_qdr_volume	susc_chi_volume	timestamp	treat_ac_field	treat_ac_field_dc_off	treat_ac_field_dc_on	treat_ac_field_decay_rate	treat_dc_field	treat_dc_field_ac_off	treat_dc_field_ac_on	treat_dc_field_decay_rate	treat_dc_field_phi	treat_dc_field_theta	treat_mw_integral	treat_mw_power	treat_mw_step	treat_mw_time	treat_step_num	treat_temp	treat_temp_dc_off	treat_temp_dc_on	treat_temp_decay_rate
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811					IRM-OldBlue																										0.0003						10.0							20.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-1	LP-X:LP-X-T:LP-X-F	g			1		siderite_Dalizi-YP-01	u	1.563e-06	6.004e-10			2001-09-22T15:55:48.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811					IRM-OldBlue																										0.0003						99.9							20.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-2	LP-X:LP-X-T:LP-X-F	g			2		siderite_Dalizi-YP-01	u	1.561e-06	6.943e-10			2001-09-22T15:55:48.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811					IRM-OldBlue																										0.0003						1.0							30.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-3	LP-X:LP-X-T:LP-X-F	g			3		siderite_Dalizi-YP-01	u	2.083e-06	3.388e-10			2001-09-22T15:55:48.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811					IRM-OldBlue																										0.0003						10.0							30.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-4	LP-X:LP-X-T:LP-X-F	g			4		siderite_Dalizi-YP-01	u	2.08e-06	1.281e-09			2001-09-22T15:55:48.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811					IRM-OldBlue																										0.0003						99.9							30.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-5	LP-X:LP-X-T:LP-X-F	g			5		siderite_Dalizi-YP-01	u	2.077e-06	1.352e-09			2001-09-22T15:55:48.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811					IRM-OldBlue																										0.0003						1.0							40.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-6	LP-X:LP-X-T:LP-X-F	g			6		siderite_Dalizi-YP-01	u	2.638e-06	-1.202e-10			2001-09-22T15:55:48.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811					IRM-OldBlue																										0.0003						10.0							40.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-7	LP-X:LP-X-T:LP-X-F	g			7		siderite_Dalizi-YP-01	u	2.635e-06	1.265e-09			2001-09-22T15:55:48.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811					IRM-OldBlue																										0.0003						99.9							40.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-8	LP-X:LP-X-T:LP-X-F	g			8		siderite_Dalizi-YP-01	u	2.631e-06	1.583e-09			2001-09-22T15:55:48.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811					IRM-OldBlue																										0.0003						1.0							50.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-9	LP-X:LP-X-T:LP-X-F	g			9		siderite_Dalizi-YP-01	u	2.531e-06	-8.646e-10			2001-09-22T15:55:48.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811					IRM-OldBlue																										0.0003						10.0							50.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-10	LP-X:LP-X-T:LP-X-F	g			1		siderite_Dalizi-YP-01	u	2.529e-06	1.044e-09			2001-09-22T15:55:48.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811					IRM-OldBlue																										0.0003						99.9							50.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-11	LP-X:LP-X-T:LP-X-F	g			11		siderite_Dalizi-YP-01	u	2.526e-06	1.785e-09			2001-09-22T15:55:48.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811					IRM-OldBlue																										0.0003						1.0							60.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9811-9811-12	LP-X:LP-X-T:LP-X-F	g			12		siderite_Dalizi-YP-01	u	2.399e-06	-8.151e-13			2001-09-22T15:55:48.000-05:00																			
